GEO,UNIT,SEX,AGE,ICD10\TIME	2001	2002	2003	2004	2005	2006	2007	2008	2009	2010
Czechia,Number,Total,Less than 1 year,Certain infectious and parasitic diseases (A00-B99)	1	2	5	8	2	1	8	3	10	6
Denmark,Number,Total,Less than 1 year,Certain infectious and parasitic diseases (A00-B99)	7	1	3	2	3	3	4	1	2	:
Germany (until 1990 former territory of the FRG),Number,Total,Less than 1 year,Certain infectious and parasitic diseases (A00-B99)	30	33	32	33	27	19	22	40	30	34
Estonia,Number,Total,Less than 1 year,Certain infectious and parasitic diseases (A00-B99)	6	2	4	2	0	0	1	0	0	2
Ireland,Number,Total,Less than 1 year,Certain infectious and parasitic diseases (A00-B99)	10	4	5	3	3	3	1	2	0	2
Greece,Number,Total,Less than 1 year,Certain infectious and parasitic diseases (A00-B99)	14	14	5	6	6	3	7	2	4	10
Spain,Number,Total,Less than 1 year,Certain infectious and parasitic diseases (A00-B99)	21	22	25	28	31	40	29	29	29	21
France,Number,Total,Less than 1 year,Certain infectious and parasitic diseases (A00-B99)	81	78	72	64	68	53	59	53	41	41
France (metropolitan),Number,Total,Less than 1 year,Certain infectious and parasitic diseases (A00-B99)	68	70	66	59	60	46	49	47	36	31
Croatia,Number,Total,Less than 1 year,Certain infectious and parasitic diseases (A00-B99)	3	3	2	2	1	2	1	4	1	3
Italy,Number,Total,Less than 1 year,Certain infectious and parasitic diseases (A00-B99)	16	23	30	:	:	31	49	25	28	36
Cyprus,Number,Total,Less than 1 year,Certain infectious and parasitic diseases (A00-B99)	:	:	:	0	0	0	0	0	0	0
Latvia,Number,Total,Less than 1 year,Certain infectious and parasitic diseases (A00-B99)	5	10	8	5	5	4	3	4	7	4
Lithuania,Number,Total,Less than 1 year,Certain infectious and parasitic diseases (A00-B99)	8	8	8	7	2	2	3	3	5	2
Luxembourg,Number,Total,Less than 1 year,Certain infectious and parasitic diseases (A00-B99)	0	0	0	0	0	0	0	0	0	0
Hungary,Number,Total,Less than 1 year,Certain infectious and parasitic diseases (A00-B99)	14	10	5	6	5	3	7	3	4	2
Malta,Number,Total,Less than 1 year,Certain infectious and parasitic diseases (A00-B99)	0	0	0	0	0	0	0	0	0	0
Netherlands,Number,Total,Less than 1 year,Certain infectious and parasitic diseases (A00-B99)	24	13	19	7	12	14	7	14	3	9
Austria,Number,Total,Less than 1 year,Certain infectious and parasitic diseases (A00-B99)	0	0	1	5	1	3	3	7	6	0
Poland,Number,Total,Less than 1 year,Certain infectious and parasitic diseases (A00-B99)	82	100	96	60	55	58	35	34	51	43
Portugal,Number,Total,Less than 1 year,Certain infectious and parasitic diseases (A00-B99)	13	14	13	7	5	7	6	5	4	3
Romania,Number,Total,Less than 1 year,Certain infectious and parasitic diseases (A00-B99)	173	171	132	138	101	95	55	61	45	46
Slovenia,Number,Total,Less than 1 year,Certain infectious and parasitic diseases (A00-B99)	0	2	1	1	0	0	0	0	0	0
Slovakia,Number,Total,Less than 1 year,Certain infectious and parasitic diseases (A00-B99)	3	7	10	4	6	8	2	8	8	7
Finland,Number,Total,Less than 1 year,Certain infectious and parasitic diseases (A00-B99)	5	3	2	3	1	3	3	5	1	1
Sweden,Number,Total,Less than 1 year,Certain infectious and parasitic diseases (A00-B99)	2	5	2	5	1	6	10	12	11	16
United Kingdom,Number,Total,Less than 1 year,Certain infectious and parasitic diseases (A00-B99)	102	68	74	71	76	74	83	88	71	68
Iceland,Number,Total,Less than 1 year,Certain infectious and parasitic diseases (A00-B99)	0	0	0	0	0	0	0	0	0	:
Norway,Number,Total,Less than 1 year,Certain infectious and parasitic diseases (A00-B99)	2	1	4	4	1	0	2	0	4	0
Switzerland,Number,Total,Less than 1 year,Certain infectious and parasitic diseases (A00-B99)	8	4	5	4	5	3	2	2	3	2
North Macedonia,Number,Total,Less than 1 year,Certain infectious and parasitic diseases (A00-B99)	26	10	18	22	18	11	8	12	11	8
Albania,Number,Total,Less than 1 year,Certain infectious and parasitic diseases (A00-B99)	22	10	13	8	:	:	:	:	:	4
European Union - 27 countries (from 2020),Number,Total,Less than 1 year,Tuberculosis	6 e	4 e	7	6 e	6 e	5	9	2	1	5 e
European Union - 28 countries (2013-2020),Number,Total,Less than 1 year,Tuberculosis	6 e	4 e	8	6 e	6 e	7	9	3	1	7 e
Belgium,Number,Total,Less than 1 year,Tuberculosis	:	:	0	0	0	0	1	0	0	0
Bulgaria,Number,Total,Less than 1 year,Tuberculosis	0	0	0	0	0	1	1	0	0	1
Czechia,Number,Total,Less than 1 year,Tuberculosis	0	0	0	0	0	0	0	0	0	0
Denmark,Number,Total,Less than 1 year,Tuberculosis	0	0	0	0	0	0	0	0	0	:
Germany (until 1990 former territory of the FRG),Number,Total,Less than 1 year,Tuberculosis	0	0	0	0	0	0	0	0	0	0
Estonia,Number,Total,Less than 1 year,Tuberculosis	0	0	0	0	0	0	0	0	0	0
Ireland,Number,Total,Less than 1 year,Tuberculosis	0	0	0	0	0	0	0	0	0	0
Greece,Number,Total,Less than 1 year,Tuberculosis	0	0	0	0	0	0	0	0	0	0
Spain,Number,Total,Less than 1 year,Tuberculosis	0	0	2	0	1	2	1	0	0	0
France,Number,Total,Less than 1 year,Tuberculosis	0	1	0	0	0	0	0	0	0	0
France (metropolitan),Number,Total,Less than 1 year,Tuberculosis	0	1	0	0	0	0	0	0	0	0
Croatia,Number,Total,Less than 1 year,Tuberculosis	0	0	0	0	0	0	0	0	0	0
Italy,Number,Total,Less than 1 year,Tuberculosis	0	0	0	:	:	0	1	1	0	0
Cyprus,Number,Total,Less than 1 year,Tuberculosis	:	:	:	0	0	0	0	0	:	0
Latvia,Number,Total,Less than 1 year,Tuberculosis	0	0	0	0	0	0	0	0	0	1
Lithuania,Number,Total,Less than 1 year,Tuberculosis	0	0	1	0	0	0	0	0	0	0
Luxembourg,Number,Total,Less than 1 year,Tuberculosis	0	0	0	:	0	0	0	:	:	0
Hungary,Number,Total,Less than 1 year,Tuberculosis	0	0	0	0	0	0	0	0	0	0
Malta,Number,Total,Less than 1 year,Tuberculosis	0	0	0	0	0	0	0	0	0	0
Netherlands,Number,Total,Less than 1 year,Tuberculosis	0	0	0	0	0	0	0	0	0	0
Austria,Number,Total,Less than 1 year,Tuberculosis	0	0	0	0	0	0	0	0	0	0
Poland,Number,Total,Less than 1 year,Tuberculosis	0	0	1	0	0	0	0	0	0	0
Portugal,Number,Total,Less than 1 year,Tuberculosis	1	0	0	0	0	0	0	0	0	0
Romania,Number,Total,Less than 1 year,Tuberculosis	5	3	3	6	4	2	5	1	1	2
Slovenia,Number,Total,Less than 1 year,Tuberculosis	0	0	0	0	0	0	0	0	0	0
Slovakia,Number,Total,Less than 1 year,Tuberculosis	0	0	0	0	0	0	0	0	0	0
Finland,Number,Total,Less than 1 year,Tuberculosis	0	0	0	0	1	0	0	0	0	1
Sweden,Number,Total,Less than 1 year,Tuberculosis	0	0	0	0	0	0	0	0	0	0
United Kingdom,Number,Total,Less than 1 year,Tuberculosis	0	0	1	0	0	2	0	1	0	2
Iceland,Number,Total,Less than 1 year,Tuberculosis	0	0	0	0	0	0	0	0	0	:
Norway,Number,Total,Less than 1 year,Tuberculosis	0	0	0	1	0	0	0	0	0	0
Switzerland,Number,Total,Less than 1 year,Tuberculosis	0	0	0	0	0	0	0	0	0	0
North Macedonia,Number,Total,Less than 1 year,Tuberculosis	0	0	0	0	0	0	0	0	0	0
Albania,Number,Total,Less than 1 year,Tuberculosis	1	1	0	0	:	:	:	:	:	0
European Union - 27 countries (from 2020),Number,Total,Less than 1 year,Viral hepatitis and sequelae of viral hepatitis	8 e	6 e	5	6 e	4 e	1	1	4	3	2 e
European Union - 28 countries (2013-2020),Number,Total,Less than 1 year,Viral hepatitis and sequelae of viral hepatitis	8 e	6 e	5	6 e	5 e	1	1	4	3	2 e
Belgium,Number,Total,Less than 1 year,Viral hepatitis and sequelae of viral hepatitis	:	:	1	0	0	0	0	0	0	0
Bulgaria,Number,Total,Less than 1 year,Viral hepatitis and sequelae of viral hepatitis	0	1	1	3	1	0	1	1	0	0
Czechia,Number,Total,Less than 1 year,Viral hepatitis and sequelae of viral hepatitis	0	0	0	0	0	0	0	0	0	0
Denmark,Number,Total,Less than 1 year,Viral hepatitis and sequelae of viral hepatitis	0	0	0	0	0	0	0	0	0	:
Germany (until 1990 former territory of the FRG),Number,Total,Less than 1 year,Viral hepatitis and sequelae of viral hepatitis	1	0	0	0	0	0	0	0	0	0
Estonia,Number,Total,Less than 1 year,Viral hepatitis and sequelae of viral hepatitis	0	0	0	0	0	0	0	0	0	0
Ireland,Number,Total,Less than 1 year,Viral hepatitis and sequelae of viral hepatitis	0	0	0	0	0	0	0	0	0	0
Greece,Number,Total,Less than 1 year,Viral hepatitis and sequelae of viral hepatitis	0	0	0	1	0	0	0	0	0	0
Spain,Number,Total,Less than 1 year,Viral hepatitis and sequelae of viral hepatitis	0	0	0	1	0	0	0	0	0	0
France,Number,Total,Less than 1 year,Viral hepatitis and sequelae of viral hepatitis	0	1	0	0	1	0	0	0	0	0
France (metropolitan),Number,Total,Less than 1 year,Viral hepatitis and sequelae of viral hepatitis	0	1	0	0	1	0	0	0	0	0
Croatia,Number,Total,Less than 1 year,Viral hepatitis and sequelae of viral hepatitis	0	0	0	0	0	0	0	0	0	0
Italy,Number,Total,Less than 1 year,Viral hepatitis and sequelae of viral hepatitis	0	0	0	:	:	0	0	0	1	0
Cyprus,Number,Total,Less than 1 year,Viral hepatitis and sequelae of viral hepatitis	:	:	:	0	0	0	0	:	0	0
Latvia,Number,Total,Less than 1 year,Viral hepatitis and sequelae of viral hepatitis	0	0	0	0	0	0	0	1	0	0
Lithuania,Number,Total,Less than 1 year,Viral hepatitis and sequelae of viral hepatitis	0	0	0	0	0	0	0	0	0	0
Luxembourg,Number,Total,Less than 1 year,Viral hepatitis and sequelae of viral hepatitis	0	0	0	0	0	0	0	:	0	0
Hungary,Number,Total,Less than 1 year,Viral hepatitis and sequelae of viral hepatitis	1	0	0	0	0	0	0	0	0	0
Malta,Number,Total,Less than 1 year,Viral hepatitis and sequelae of viral hepatitis	0	0	0	0	0	0	0	0	0	:
Netherlands,Number,Total,Less than 1 year,Viral hepatitis and sequelae of viral hepatitis	0	0	0	0	0	0	0	0	0	0
Austria,Number,Total,Less than 1 year,Viral hepatitis and sequelae of viral hepatitis	0	0	0	0	0	0	0	1	0	0
Poland,Number,Total,Less than 1 year,Viral hepatitis and sequelae of viral hepatitis	1	0	0	0	0	1	0	0	1	0
Portugal,Number,Total,Less than 1 year,Viral hepatitis and sequelae of viral hepatitis	0	0	0	0	0	0	0	0	0	1
Romania,Number,Total,Less than 1 year,Viral hepatitis and sequelae of viral hepatitis	5	2	2	1	2	0	0	1	0	1
Slovenia,Number,Total,Less than 1 year,Viral hepatitis and sequelae of viral hepatitis	0	0	0	0	0	0	0	0	0	0
Slovakia,Number,Total,Less than 1 year,Viral hepatitis and sequelae of viral hepatitis	0	1	1	0	0	0	0	0	1	0
Finland,Number,Total,Less than 1 year,Viral hepatitis and sequelae of viral hepatitis	0	0	0	0	0	0	0	0	0	0
Sweden,Number,Total,Less than 1 year,Viral hepatitis and sequelae of viral hepatitis	0	0	0	0	0	0	0	0	0	0
United Kingdom,Number,Total,Less than 1 year,Viral hepatitis and sequelae of viral hepatitis	0	0	0	0	1	0	0	0	0	0
Iceland,Number,Total,Less than 1 year,Viral hepatitis and sequelae of viral hepatitis	:	0	:	:	:	:	0	:	:	:
Norway,Number,Total,Less than 1 year,Viral hepatitis and sequelae of viral hepatitis	0	0	0	0	0	0	0	0	0	0
Switzerland,Number,Total,Less than 1 year,Viral hepatitis and sequelae of viral hepatitis	0	0	0	0	0	0	0	0	0	0
North Macedonia,Number,Total,Less than 1 year,Viral hepatitis and sequelae of viral hepatitis	0	0	0	0	0	0	0	0	0	0
Albania,Number,Total,Less than 1 year,Viral hepatitis and sequelae of viral hepatitis	1	1	0	1	:	:	:	:	:	0
European Union - 27 countries (from 2020),Number,Total,Less than 1 year,Human immunodeficiency virus [HIV] disease	10 e	11 e	9	7 e	5 e	2	6	5	9	3 e
European Union - 28 countries (2013-2020),Number,Total,Less than 1 year,Human immunodeficiency virus [HIV] disease	13 e	13 e	10	8 e	6 e	3	7	5	9	3 e
Belgium,Number,Total,Less than 1 year,Human immunodeficiency virus [HIV] disease	:	:	0	0	0	0	0	0	0	0
Bulgaria,Number,Total,Less than 1 year,Human immunodeficiency virus [HIV] disease	0	0	0	1	0	0	0	0	0	0
Czechia,Number,Total,Less than 1 year,Human immunodeficiency virus [HIV] disease	0	:	:	:	0	0	0	0	0	0
Denmark,Number,Total,Less than 1 year,Human immunodeficiency virus [HIV] disease	0	0	0	0	0	0	0	0	0	:
Germany (until 1990 former territory of the FRG),Number,Total,Less than 1 year,Human immunodeficiency virus [HIV] disease	0	1	1	0	0	0	1	1	0	0
Estonia,Number,Total,Less than 1 year,Human immunodeficiency virus [HIV] disease	0	0	0	1	0	0	0	0	0	0
Ireland,Number,Total,Less than 1 year,Human immunodeficiency virus [HIV] disease	0	0	0	0	0	0	0	0	0	0
Greece,Number,Total,Less than 1 year,Human immunodeficiency virus [HIV] disease	1	0	0	0	0	0	0	0	0	0
Spain,Number,Total,Less than 1 year,Human immunodeficiency virus [HIV] disease	3	2	1	1	1	0	0	0	1	0
France,Number,Total,Less than 1 year,Human immunodeficiency virus [HIV] disease	2	1	3	0	1	0	0	2	2	0
France (metropolitan),Number,Total,Less than 1 year,Human immunodeficiency virus [HIV] disease	1	1	2	0	1	0	0	2	2	0
Croatia,Number,Total,Less than 1 year,Human immunodeficiency virus [HIV] disease	0	0	0	0	0	0	0	0	0	0
Italy,Number,Total,Less than 1 year,Human immunodeficiency virus [HIV] disease	0	1	0	:	:	0	0	1	2	0
Cyprus,Number,Total,Less than 1 year,Human immunodeficiency virus [HIV] disease	:	:	:	0	0	0	0	:	:	0
Latvia,Number,Total,Less than 1 year,Human immunodeficiency virus [HIV] disease	0	1	0	0	0	0	0	0	0	0
Lithuania,Number,Total,Less than 1 year,Human immunodeficiency virus [HIV] disease	0	0	0	0	0	0	0	0	0	0
Luxembourg,Number,Total,Less than 1 year,Human immunodeficiency virus [HIV] disease	0	0	0	0	0	0	0	0	0	0
Hungary,Number,Total,Less than 1 year,Human immunodeficiency virus [HIV] disease	0	0	0	0	0	0	0	0	0	0
Malta,Number,Total,Less than 1 year,Human immunodeficiency virus [HIV] disease	:	0	0	0	0	0	0	:	:	0
Netherlands,Number,Total,Less than 1 year,Human immunodeficiency virus [HIV] disease	0	0	0	0	0	0	0	0	0	0
Austria,Number,Total,Less than 1 year,Human immunodeficiency virus [HIV] disease	0	0	0	0	0	0	0	0	0	0
Poland,Number,Total,Less than 1 year,Human immunodeficiency virus [HIV] disease	1	1	2	1	0	1	0	0	1	1
Portugal,Number,Total,Less than 1 year,Human immunodeficiency virus [HIV] disease	1	2	0	1	1	1	1	0	0	0
Romania,Number,Total,Less than 1 year,Human immunodeficiency virus [HIV] disease	2	2	2	2	2	0	3	0	2	2
Slovenia,Number,Total,Less than 1 year,Human immunodeficiency virus [HIV] disease	0	0	0	0	0	:	0	0	0	:
Slovakia,Number,Total,Less than 1 year,Human immunodeficiency virus [HIV] disease	0	0	:	0	:	0	0	0	0	0
Finland,Number,Total,Less than 1 year,Human immunodeficiency virus [HIV] disease	0	0	0	0	0	0	0	0	0	0
Sweden,Number,Total,Less than 1 year,Human immunodeficiency virus [HIV] disease	0	0	0	0	0	0	1	0	1	0
United Kingdom,Number,Total,Less than 1 year,Human immunodeficiency virus [HIV] disease	3	2	1	1	1	1	1	0	0	0
Iceland,Number,Total,Less than 1 year,Human immunodeficiency virus [HIV] disease	0	:	:	0	:	0	:	:	0	:
Norway,Number,Total,Less than 1 year,Human immunodeficiency virus [HIV] disease	0	0	0	0	0	0	0	0	0	0
Switzerland,Number,Total,Less than 1 year,Human immunodeficiency virus [HIV] disease	0	0	0	0	0	0	0	0	1	0
North Macedonia,Number,Total,Less than 1 year,Human immunodeficiency virus [HIV] disease	1	:	:	:	:	0	0	0	:	:
Albania,Number,Total,Less than 1 year,Human immunodeficiency virus [HIV] disease	:	:	0	0	:	:	:	:	:	:
European Union - 27 countries (from 2020),Number,Total,From 1 to 4 years,All causes of death (A00-Y89) excluding S00-T98	5,348 e	5,144 e	4,846	4,546 e	4,386 e	4,128	4,013	3,892	3,840	3,685 e
European Union - 28 countries (2013-2020),Number,Total,From 1 to 4 years,All causes of death (A00-Y89) excluding S00-T98	6,005 e	5,806 e	5,511	5,170 e	4,981 e	4,759	4,658	4,507	4,389	4,246 e
Belgium,Number,Total,From 1 to 4 years,All causes of death (A00-Y89) excluding S00-T98	:	:	120	94	115	101	106	86	117	105
Bulgaria,Number,Total,From 1 to 4 years,All causes of death (A00-Y89) excluding S00-T98	180	174	158	192	149	137	139	132	129	133
Czechia,Number,Total,From 1 to 4 years,All causes of death (A00-Y89) excluding S00-T98	91	100	89	76	69	76	83	71	76	88
Denmark,Number,Total,From 1 to 4 years,All causes of death (A00-Y89) excluding S00-T98	67	64	68	62	49	39	52	44	44	:
Germany (until 1990 former territory of the FRG),Number,Total,From 1 to 4 years,All causes of death (A00-Y89) excluding S00-T98	799	714	680	619	602	528	549	536	529	482
Estonia,Number,Total,From 1 to 4 years,All causes of death (A00-Y89) excluding S00-T98	27	24	26	17	24	19	18	0	0	23
Ireland,Number,Total,From 1 to 4 years,All causes of death (A00-Y89) excluding S00-T98	78	59	49	46	52	38	54	52	59	45
Greece,Number,Total,From 1 to 4 years,All causes of death (A00-Y89) excluding S00-T98	72	86	74	94	83	62	77	79	85	77
Spain,Number,Total,From 1 to 4 years,All causes of death (A00-Y89) excluding S00-T98	370	396	442	379	380	357	385	345	396	357
France,Number,Total,From 1 to 4 years,All causes of death (A00-Y89) excluding S00-T98	828	757	781	690	671	657	629	654	614	588
France (metropolitan),Number,Total,From 1 to 4 years,All causes of death (A00-Y89) excluding S00-T98	771	703	728	636	602	605	586	599	568	510
Croatia,Number,Total,From 1 to 4 years,All causes of death (A00-Y89) excluding S00-T98	62	54	42	44	38	39	35	42	36	35
Italy,Number,Total,From 1 to 4 years,All causes of death (A00-Y89) excluding S00-T98	443	437	389	:	:	377	361	368	334	343
Cyprus,Number,Total,From 1 to 4 years,All causes of death (A00-Y89) excluding S00-T98	8	18	8	0	12	0	0	0	0	0
Latvia,Number,Total,From 1 to 4 years,All causes of death (A00-Y89) excluding S00-T98	53	64	58	39	34	35	33	29	36	33
Lithuania,Number,Total,From 1 to 4 years,All causes of death (A00-Y89) excluding S00-T98	92	74	60	54	52	52	39	44	32	36
Luxembourg,Number,Total,From 1 to 4 years,All causes of death (A00-Y89) excluding S00-T98	0	0	0	0	0	0	0	0	0	0
Hungary,Number,Total,From 1 to 4 years,All causes of death (A00-Y89) excluding S00-T98	121	139	120	110	123	125	108	91	84	79
Malta,Number,Total,From 1 to 4 years,All causes of death (A00-Y89) excluding S00-T98	0	0	0	0	0	0	0	0	0	0
Netherlands,Number,Total,From 1 to 4 years,All causes of death (A00-Y89) excluding S00-T98	210	219	198	192	196	168	146	147	136	136
Austria,Number,Total,From 1 to 4 years,All causes of death (A00-Y89) excluding S00-T98	76	63	90	50	68	70	55	61	66	60
Poland,Number,Total,From 1 to 4 years,All causes of death (A00-Y89) excluding S00-T98	494	469	391	372	387	388	366	392	329	330
Portugal,Number,Total,From 1 to 4 years,All causes of death (A00-Y89) excluding S00-T98	166	171	128	143	97	119	87	83	92	71
Romania,Number,Total,From 1 to 4 years,All causes of death (A00-Y89) excluding S00-T98	761	731	640	620	559	548	472	431	410	420
Slovenia,Number,Total,From 1 to 4 years,All causes of death (A00-Y89) excluding S00-T98	8	19	15	17	0	0	18	0	0	0
Slovakia,Number,Total,From 1 to 4 years,All causes of death (A00-Y89) excluding S00-T98	98	74	95	96	73	72	75	66	83	64
Finland,Number,Total,From 1 to 4 years,All causes of death (A00-Y89) excluding S00-T98	36	37	47	56	55	27	46	42	26	38
Sweden,Number,Total,From 1 to 4 years,All causes of death (A00-Y89) excluding S00-T98	69	69	74	75	83	70	68	58	87	66
United Kingdom,Number,Total,From 1 to 4 years,All causes of death (A00-Y89) excluding S00-T98	657	662	665	624	595	631	645	615	549	561
Iceland,Number,Total,From 1 to 4 years,All causes of death (A00-Y89) excluding S00-T98	0	0	0	0	0	0	0	0	0	:
Norway,Number,Total,From 1 to 4 years,All causes of death (A00-Y89) excluding S00-T98	51	69	60	53	42	0	36	41	36	31
Switzerland,Number,Total,From 1 to 4 years,All causes of death (A00-Y89) excluding S00-T98	90	75	56	75	55	52	48	37	44	38
North Macedonia,Number,Total,From 1 to 4 years,All causes of death (A00-Y89) excluding S00-T98	47	43	43	38	36	31	29	28	37	17
Albania,Number,Total,From 1 to 4 years,All causes of death (A00-Y89) excluding S00-T98	249	291	302	237	:	:	:	:	:	69
